team_name,games_played,wins,ties,losses,wins_OT,points,points_per_game,win_pct,win_pct_OT,time_5v5,time_pgs_5v5,time_pga_5v5,gs_5v5,ga_5v5,pp_count,pp_time,pp_pct,pp_goals,time_pgs,pk_count,pk_time,pk_pct,pk_ga,time_pga,shots_scored_pct,shots_total,shots_against_total,shot_diff,shot_pct_total,sog_total,sog_against_total,sog_diff,sog_pct_total,save_pct,sum_shots_scored_pct_saves,home_wins,home_ties,home_losses,home_points,away_wins,away_ties,away_losses,away_points
HIFK,60,24,18,18,8,98,1.63,0.4,0.53,2985.0,20.52,22.58,143,130,165,290.45,21.21,35,8.18,214,374.2,82.71,37,10.07,6.76,2693,2517,176,51.69,2448,2296,152,51.6,88.51,95.27,16,6,8,57,8,12,10,41
HPK,60,25,16,19,8,99,1.65,0.42,0.55,2953.43,27.21,26.37,108,111,235,406.58,20.85,49,8.18,179,294.03,83.8,29,10.08,5.35,3141,2490,651,55.78,2867,2261,606,55.91,89.62,94.97,15,7,8,56,10,9,11,43
Ilves,60,23,14,23,8,91,1.52,0.38,0.52,2910.35,23.4,25.59,123,112,214,383.28,17.29,37,10.22,204,348.5,73.04,55,6.21,5.98,2825,2445,380,53.61,2614,2310,304,53.09,88.7,94.68,11,8,11,45,12,6,12,46
Jukurit,60,13,20,27,8,67,1.12,0.22,0.35,2970.53,29.25,23.02,101,129,195,353.45,17.95,35,10.06,196,338.56,78.06,43,7.53,5.71,2540,2998,-458,45.86,2350,2727,-377,46.29,89.21,94.92,7,13,10,38,6,7,17,29
JYP,60,17,19,24,12,82,1.37,0.28,0.48,3012.55,29.5,27.23,101,110,172,286.39,21.51,37,7.45,211,369.03,81.04,40,9.14,5.07,2858,2839,19,50.17,2681,2608,73,50.69,90.8,95.87,11,10,9,49,6,9,15,33
KalPa,60,18,15,27,7,76,1.27,0.3,0.42,2955.11,30.47,21.16,96,139,222,368.57,21.62,48,7.41,195,330.53,78.97,41,8.04,5.37,2848,2671,177,51.6,2587,2490,97,50.96,87.87,93.24,11,8,11,45,7,7,16,31
KooKoo,60,18,13,29,6,73,1.22,0.3,0.4,2873.28,29.01,22.06,99,130,218,373.37,22.94,50,7.28,237,402.17,75.53,58,6.56,5.94,2643,3073,-430,46.24,2486,2902,-416,46.14,88.68,94.62,11,10,9,47,7,3,20,26
Kärpät,60,41,8,11,6,137,2.28,0.68,0.78,2953.21,19.18,38.21,153,77,203,340.22,21.67,44,7.44,189,338.24,89.42,20,16.55,7.19,2880,2479,401,53.74,2724,2283,441,54.4,92.8,99.99,23,3,4,74,18,5,7,63
Lukko,60,26,13,21,5,96,1.6,0.43,0.52,2859.05,24.39,26.14,116,109,244,405.54,18.85,46,8.49,234,383.54,80.34,46,8.21,6.02,2823,2657,166,51.51,2612,2420,192,51.91,89.08,95.1,13,5,12,46,13,8,9,50
Pelicans,60,30,11,19,3,104,1.73,0.5,0.55,2991.37,20.55,26.43,143,112,213,349.39,24.41,52,6.43,178,303.54,79.21,37,8.13,6.63,3001,2881,120,51.02,2729,2610,119,51.11,90.65,97.28,18,6,6,63,12,5,13,41
SaiPa,60,21,15,24,10,88,1.47,0.35,0.52,2968.05,26.3,25.22,112,117,193,326.33,20.21,39,8.22,205,361.13,80.98,39,9.16,6.29,2481,2804,-323,46.94,2256,2585,-329,46.6,89.97,96.26,16,6,8,59,5,9,16,29
Sport,60,17,19,24,11,81,1.35,0.28,0.47,2926.13,21.31,21.12,136,138,200,334.22,20.5,41,8.09,232,391.13,74.14,60,6.31,6.43,2829,3112,-283,47.62,2663,2968,-305,47.29,89.2,95.63,11,10,9,48,6,9,15,33
Tappara,60,32,9,19,3,108,1.8,0.53,0.58,3029.26,22.47,29.25,133,103,188,317.5,21.28,40,7.57,171,287.05,78.36,37,7.46,6.91,2563,2519,44,50.43,2391,2345,46,50.49,90.07,96.98,18,2,10,57,14,7,9,51
TPS,60,29,11,20,5,103,1.72,0.48,0.57,2992.53,25.48,28.47,116,104,191,316.36,24.08,46,6.53,188,324.17,80.32,37,8.46,5.87,2792,2750,42,50.38,2489,2525,-36,49.64,90.56,96.43,16,5,9,55,13,6,11,48
Ässät,60,9,13,38,7,47,0.78,0.15,0.27,2955.59,34.47,20.32,85,144,196,342.59,13.78,27,12.42,216,350.02,78.24,47,7.27,4.82,2428,3110,-682,43.84,2212,2779,-567,44.32,88.73,93.55,5,8,17,27,4,5,21,20
